Time,Reading
2023-10-05 16:21:56,16.9
2023-10-05 16:22:26,3.5
2023-10-05 16:22:56,-4.0
2023-10-05 16:23:26,-8.8
2023-10-05 16:23:56,-11.8
2023-10-05 16:24:26,-13.7
2023-10-05 16:24:56,-14.9
2023-10-05 16:25:26,-15.7
2023-10-05 16:25:56,-16.1
2023-10-05 16:26:25,-16.3
2023-10-05 16:26:56,-15.9
2023-10-05 16:27:26,-16.1
2023-10-05 16:27:56,-16.2
2023-10-05 16:28:26,-16.2
2023-10-05 16:28:56,-16.2
2023-10-05 16:29:26,-16.1
2023-10-05 16:29:56,-16.0
2023-10-05 16:30:26,-16.0
2023-10-05 16:30:56,-15.9
2023-10-05 16:31:26,-15.7
2023-10-05 16:31:56,-15.6
2023-10-05 16:32:26,-15.5
2023-10-05 16:32:55,-15.4
2023-10-05 16:33:26,-15.3
2023-10-05 16:33:56,-15.2
2023-10-05 16:34:26,-15.1
2023-10-05 16:34:56,-14.9
2023-10-05 16:35:26,-14.8
2023-10-05 16:35:56,-14.7
2023-10-05 16:36:26,-15.2
2023-10-05 16:36:56,-16.4
2023-10-05 16:37:26,-17.2
2023-10-05 16:37:56,-14.9
2023-10-05 16:38:26,-14.9
2023-10-05 16:38:56,-14.4
2023-10-05 16:39:25,-15.7
2023-10-05 16:39:56,-14.6
2023-10-05 16:40:26,-17.7
2023-10-05 16:40:56,-18.1
2023-10-05 16:41:26,-15.2
2023-10-05 16:41:56,-14.6
2023-10-05 16:42:26,-14.2
2023-10-05 16:42:56,-14.6
2023-10-05 16:43:26,-15.7
2023-10-05 16:43:56,-15.6
2023-10-05 16:44:26,-14.5
2023-10-05 16:44:56,-14.2
2023-10-05 16:45:26,-14.4
2023-10-05 16:45:55,-14.4
2023-10-05 16:46:26,-14.1
2023-10-05 16:46:56,-14.2
2023-10-05 16:47:26,-19.9
2023-10-05 16:47:56,-18.9
2023-10-05 16:48:26,-15.9
2023-10-05 16:48:56,-15.3
2023-10-05 16:49:26,-18.4
2023-10-05 16:49:56,-26.0
2023-10-05 16:50:26,-25.1
2023-10-05 16:50:56,-17.5
2023-10-05 16:51:26,-16.0
2023-10-05 16:51:56,-16.6
2023-10-05 16:52:26,-15.8
2023-10-05 16:52:56,-19.5
2023-10-05 16:53:26,-18.1
